KEMET Part Number,Rated Voltage /V,VDC  Surge Voltage /V,Rated Capacitance /uF,Shape,Shape_code,Length /mm,Width /mm,Height /mm,Diameter /mm,Cylinder_length /mm,DC Leakage /mA,Maximum Temperature /deg,Endurance /Hours,MSL /Reflow Temp 260 deg,SPQ,MOQ,Impedance /mohm 20deg 10 kHz,ESL /nH,Type_code,Type,Manufacturer_code,Manufacturer,Dissipation Factor,ESR /mohm 20deg 100 Hz,ESR /mohm 20deg 120 Hz,ESR /mohm 125deg 5 kHz,ESR /mohm 20deg 100 kHz,ESR /mohm 25deg 100 kHz,ESR /mohm 105deg 100 kHz,ESR /mohm 125deg 100 kHz,Ripple /A 40deg 100 Hz,Ripple /A 85deg 100 Hz,Ripple /A 105deg 100 Hz,Ripple /A 125deg 100 Hz,Ripple /A 85deg 120 Hz,Ripple /A 105deg 120 Hz,Ripple /A 60deg 5 kHz,Ripple /A 80deg 5 kHz,Ripple /A 85deg 5 kHz,Ripple /A 100deg 5 kHz,Ripple /A 105deg 5 kHz,Ripple /A 125deg 5 kHz,Ripple /A 140deg 5 kHz,Ripple /A 150deg 5 kHz,Ripple /A 40deg 10 kHz,Ripple /A 85deg 10 kHz,Ripple /A 105deg 10 kHz,Ripple /A 40deg 20 kHz,Ripple /A 25deg 100 kHz,Ripple /A 90deg 100 kHz,Ripple /A 105deg 100 kHz,Ripple /A 125deg 100 kHz,Ripple /A 135deg 100kHz,Ripple /A 150deg 100kHz,ESR_vs_frequency_100,ESR_vs_frequency_1000,ESR_vs_frequency_10000,ESR_vs_frequency_100000,ESR_vs_frequency_1000000,ESR_vs_temperature_0,ESR_vs_temperature_40,ESR_vs_temperature_80,ESR_vs_temperature_120,ESR_vs_temperature_160,current_ratio_vs_frequency_100,current_ratio_vs_frequency_1000,current_ratio_vs_frequency_10000,current_ratio_vs_frequency_100000,current_ratio_vs_frequency_1000000,current_ratio_vs_temperature_0,current_ratio_vs_temperature_40,current_ratio_vs_temperature_80,current_ratio_vs_temperature_120,current_ratio_vs_temperature_160
ELG478M050AQ5(1),50,63,4700,cylindrical,0,,,,22,45,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,85,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG568M050AQ6(1),50,63,5600,cylindrical,0,,,,22,50,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,71,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG228M050AR1(1),50,63,2200,cylindrical,0,,,,25,25,2.2,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,181,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG278M050AR1(1),50,63,2700,cylindrical,0,,,,25,25,2.7,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,147,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG338M050AR2(1),50,63,3300,cylindrical,0,,,,25,30,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,121,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG398M050AR3(1),50,63,3900,cylindrical,0,,,,25,35,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,102,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG478M050AR4(1),50,63,4700,cylindrical,0,,,,25,40,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,85,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG568M050AR4(1),50,63,5600,cylindrical,0,,,,25,40,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,71,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG688M050AR6(1),50,63,6800,cylindrical,0,,,,25,50,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,59,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
ELG398M050AS1(1),50,63,3900,cylindrical,0,,,,30,25,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.3,,102,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,962.4716981,475.3134153,382.5025731,365.635506,296.9482149,4.5,2.5,1.322222222,1.025,0.825,0.35,0.8,1.002105263,1.04,1.418947368,7,8.095238095,8.285714286,8.476190476,8.666666667
