KEMET Part Number,Rated Voltage /V,VDC  Surge Voltage /V,Rated Capacitance /uF,Shape,Shape_code,Length /mm,Width /mm,Height /mm,Diameter /mm,Cylinder_length /mm,DC Leakage /mA,Maximum Temperature /deg,Endurance /Hours,MSL /Reflow Temp 260 deg,SPQ,MOQ,Impedance /mohm 20deg 10 kHz,ESL /nH,Type_code,Type,Manufacturer_code,Manufacturer,Dissipation Factor,ESR_at_100_Hz_0_deg,ESR_at_1000_Hz_0_deg,ESR_at_10000_Hz_0_deg,ESR_at_100000_Hz_0_deg,ESR_at_1000000_Hz_0_deg,ESR_at_100_Hz_40_deg,ESR_at_1000_Hz_40_deg,ESR_at_10000_Hz_40_deg,ESR_at_100000_Hz_40_deg,ESR_at_1000000_Hz_40_deg,ESR_at_100_Hz_80_deg,ESR_at_1000_Hz_80_deg,ESR_at_10000_Hz_80_deg,ESR_at_100000_Hz_80_deg,ESR_at_1000000_Hz_80_deg,ESR_at_100_Hz_120_deg,ESR_at_1000_Hz_120_deg,ESR_at_10000_Hz_120_deg,ESR_at_100000_Hz_120_deg,ESR_at_1000000_Hz_120_deg,ESR_at_100_Hz_160_deg,ESR_at_1000_Hz_160_deg,ESR_at_10000_Hz_160_deg,ESR_at_100000_Hz_160_deg,ESR_at_1000000_Hz_160_deg,Ripple_at_100_Hz_0_deg,Ripple_at_1000_Hz_0_deg,Ripple_at_10000_Hz_0_deg,Ripple_at_100000_Hz_0_deg,Ripple_at_1000000_Hz_0_deg,Ripple_at_100_Hz_40_deg,Ripple_at_1000_Hz_40_deg,Ripple_at_10000_Hz_40_deg,Ripple_at_100000_Hz_40_deg,Ripple_at_1000000_Hz_40_deg,Ripple_at_100_Hz_80_deg,Ripple_at_1000_Hz_80_deg,Ripple_at_10000_Hz_80_deg,Ripple_at_100000_Hz_80_deg,Ripple_at_1000000_Hz_80_deg,Ripple_at_100_Hz_120_deg,Ripple_at_1000_Hz_120_deg,Ripple_at_10000_Hz_120_deg,Ripple_at_100000_Hz_120_deg,Ripple_at_1000000_Hz_120_deg,Ripple_at_100_Hz_160_deg,Ripple_at_1000_Hz_160_deg,Ripple_at_10000_Hz_160_deg,Ripple_at_100000_Hz_160_deg,Ripple_at_1000000_Hz_160_deg
ELG129M025AR4(1),25,32,12000,cylindrical,0,,,,25,40,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,63.61992948,6.78963266,2.149019863,1.548335768,1.601703239,38.405336,4.098686147,1.297295212,0.934681253,0.966897504,31.25234035,3.335305657,1.055673917,0.760596825,0.786812798,22.02712557,2.350774237,0.744055059,0.536080229,0.554557647,11.62597393,1.240744731,0.392714187,0.282944533,0.292696962,7.003611218,0.747437915,0.236575233,0.170448818,0.176323785,4.227858223,0.451204591,0.142812973,0.102894551,0.106441083,3.440419428,0.367167715,0.11621405,0.083730436,0.086616426,2.424860024,0.258785399,0.081909433,0.059014487,0.061048577,1.279847401,0.136587604,0.043232011,0.031147999,0.032221597
ELG159M025AR5(1),25,32,15000,cylindrical,0,,,,25,45,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,50.89594359,5.431706128,1.719215891,1.238668614,1.281362591,30.7242688,3.278948917,1.03783617,0.747745002,0.773518004,25.00187228,2.668244526,0.844539134,0.60847746,0.629450239,17.62170046,1.88061939,0.595244047,0.428864183,0.443646117,9.300779141,0.992595785,0.31417135,0.226355627,0.23415757,8.022318304,0.856156157,0.270986176,0.195241373,0.201970881,4.842819419,0.51683435,0.16358577,0.117861032,0.121923423,3.940844073,0.420573928,0.133117912,0.095909409,0.099215179,2.777566937,0.296426911,0.093823532,0.067598412,0.06992837,1.466007023,0.156454891,0.049520303,0.035678617,0.036908375
ELG189M025AR6(1),25,32,18000,cylindrical,0,,,,25,50,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,41.98915346,4.481157555,1.41835311,1.021901607,1.057124137,25.34752176,2.705132857,0.85621484,0.616889627,0.638152353,20.62654463,2.201301734,0.696744785,0.501993905,0.519296447,14.53790288,1.551510996,0.491076339,0.353812951,0.366008047,7.673142792,0.818891522,0.259191364,0.186743392,0.193179995,9.04102539,0.9648744,0.305397119,0.220033928,0.227617977,5.457780615,0.582464109,0.184358566,0.132827512,0.137405762,4.441268717,0.473980141,0.150021774,0.108088381,0.111813932,3.130273849,0.334068424,0.105737632,0.076182338,0.078808163,1.652166645,0.176322179,0.055808596,0.040209235,0.041595152
ELG828M025AS1(1),25,32,8200,cylindrical,0,,,,30,25,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,92.88509704,9.912863683,3.137569,2.260570221,2.338486728,56.07179056,5.984081774,1.89405101,1.364634629,1.411670357,45.6284169,4.869546259,1.541283919,1.110471365,1.148746686,32.15960333,3.432130386,1.086320386,0.782677135,0.809654164,16.97392193,1.811487307,0.573362713,0.413099019,0.427337565,5.475550588,0.584360552,0.184958818,0.133259985,0.137853141,3.305416429,0.352759953,0.111653779,0.080444831,0.083217574,2.689782462,0.287058395,0.090858258,0.065461978,0.067718297,1.895799655,0.20232313,0.064038284,0.046138599,0.047728887,1.000607968,0.106786672,0.033799572,0.024352072,0.02519143
ELG109M025AS2(1),25,32,10000,cylindrical,0,,,,30,30,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,76.34391538,8.147559192,2.578823836,1.858002921,1.922043886,46.0864032,4.918423376,1.556754255,1.121617504,1.160277005,37.50280842,4.002366789,1.266808701,0.91271619,0.944175358,26.43255069,2.820929084,0.892866071,0.643296275,0.665469176,13.95116871,1.488893677,0.471257025,0.33953344,0.351236355,6.112242517,0.652309453,0.206465658,0.148755332,0.153882576,3.689767177,0.393778552,0.124636777,0.089798881,0.092894036,3.002547865,0.320437278,0.101423171,0.073073835,0.075592518,2.116241476,0.225849075,0.071484596,0.051503552,0.053278758,1.116957732,0.119203727,0.037729755,0.027183708,0.028120666
ELG129M025AS2(1),25,32,12000,cylindrical,0,,,,30,30,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,63.61992948,6.78963266,2.149019863,1.548335768,1.601703239,38.405336,4.098686147,1.297295212,0.934681253,0.966897504,31.25234035,3.335305657,1.055673917,0.760596825,0.786812798,22.02712557,2.350774237,0.744055059,0.536080229,0.554557647,11.62597393,1.240744731,0.392714187,0.282944533,0.292696962,6.876272832,0.733848135,0.232273865,0.167349748,0.173117898,4.150988074,0.443000871,0.140216374,0.101023741,0.104505791,3.377866348,0.360491938,0.114101068,0.082208065,0.085041582,2.38077166,0.25408021,0.080420171,0.057941496,0.059938603,1.256577448,0.134104193,0.042445974,0.030581672,0.03163575
ELG159M025AS3(1),25,32,15000,cylindrical,0,,,,30,35,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,50.89594359,5.431706128,1.719215891,1.238668614,1.281362591,30.7242688,3.278948917,1.03783617,0.747745002,0.773518004,25.00187228,2.668244526,0.844539134,0.60847746,0.629450239,17.62170046,1.88061939,0.595244047,0.428864183,0.443646117,9.300779141,0.992595785,0.31417135,0.226355627,0.23415757,8.022318304,0.856156157,0.270986176,0.195241373,0.201970881,4.842819419,0.51683435,0.16358577,0.117861032,0.121923423,3.940844073,0.420573928,0.133117912,0.095909409,0.099215179,2.777566937,0.296426911,0.093823532,0.067598412,0.06992837,1.466007023,0.156454891,0.049520303,0.035678617,0.036908375
ELG189M025AS4(1),25,32,18000,cylindrical,0,,,,30,40,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,41.98915346,4.481157555,1.41835311,1.021901607,1.057124137,25.34752176,2.705132857,0.85621484,0.616889627,0.638152353,20.62654463,2.201301734,0.696744785,0.501993905,0.519296447,14.53790288,1.551510996,0.491076339,0.353812951,0.366008047,7.673142792,0.818891522,0.259191364,0.186743392,0.193179995,9.04102539,0.9648744,0.305397119,0.220033928,0.227617977,5.457780615,0.582464109,0.184358566,0.132827512,0.137405762,4.441268717,0.473980141,0.150021774,0.108088381,0.111813932,3.130273849,0.334068424,0.105737632,0.076182338,0.078808163,1.652166645,0.176322179,0.055808596,0.040209235,0.041595152
ELG229M025AS5(1),25,32,22000,cylindrical,0,,,,30,45,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,34.35476192,3.666401636,1.160470726,0.836101315,0.864919749,20.73888144,2.213290519,0.700539415,0.504727877,0.522124652,16.87626379,1.801065055,0.570063915,0.410722286,0.424878911,11.89464781,1.269418088,0.401789732,0.289483324,0.299461129,6.27802592,0.670002155,0.212065661,0.152790048,0.15805636,10.31440925,1.100772202,0.348410797,0.251024622,0.259676847,6.226482111,0.664501307,0.210324561,0.151535612,0.156758686,5.066799522,0.540737907,0.171151601,0.123312097,0.127562373,3.57115749,0.381120314,0.120630256,0.086912245,0.089907904,1.884866173,0.201156289,0.063668962,0.045872508,0.047453625
ELG109M025AT1(1),25,32,10000,cylindrical,0,,,,35,25,3,105,2000,,,,,,7,Snap-In Aluminum Electrolytic Capacitors,0,KEMET,0.45,76.34391538,8.147559192,2.578823836,1.858002921,1.922043886,46.0864032,4.918423376,1.556754255,1.121617504,1.160277005,37.50280842,4.002366789,1.266808701,0.91271619,0.944175358,26.43255069,2.820929084,0.892866071,0.643296275,0.665469176,13.95116871,1.488893677,0.471257025,0.33953344,0.351236355,6.112242517,0.652309453,0.206465658,0.148755332,0.153882576,3.689767177,0.393778552,0.124636777,0.089798881,0.092894036,3.002547865,0.320437278,0.101423171,0.073073835,0.075592518,2.116241476,0.225849075,0.071484596,0.051503552,0.053278758,1.116957732,0.119203727,0.037729755,0.027183708,0.028120666
