KEMET Part Number,Rated Voltage /V,VDC  Surge Voltage /V,Rated Capacitance /uF,Shape,Shape_code,Length /mm,Width /mm,Height /mm,Diameter /mm,Cylinder_length /mm,DC Leakage /mA,Maximum Temperature /deg,Endurance /Hours,MSL /Reflow Temp 260 deg,SPQ,MOQ,Impedance /mohm 20deg 10 kHz,ESL /nH,Type_code,Type,Manufacturer_code,Manufacturer,Dissipation Factor,ESR_at_100_Hz_0_deg,ESR_at_1000_Hz_0_deg,ESR_at_10000_Hz_0_deg,ESR_at_100000_Hz_0_deg,ESR_at_1000000_Hz_0_deg,ESR_at_100_Hz_40_deg,ESR_at_1000_Hz_40_deg,ESR_at_10000_Hz_40_deg,ESR_at_100000_Hz_40_deg,ESR_at_1000000_Hz_40_deg,ESR_at_100_Hz_80_deg,ESR_at_1000_Hz_80_deg,ESR_at_10000_Hz_80_deg,ESR_at_100000_Hz_80_deg,ESR_at_1000000_Hz_80_deg,ESR_at_100_Hz_120_deg,ESR_at_1000_Hz_120_deg,ESR_at_10000_Hz_120_deg,ESR_at_100000_Hz_120_deg,ESR_at_1000000_Hz_120_deg,ESR_at_100_Hz_160_deg,ESR_at_1000_Hz_160_deg,ESR_at_10000_Hz_160_deg,ESR_at_100000_Hz_160_deg,ESR_at_1000000_Hz_160_deg,Ripple_at_100_Hz_0_deg,Ripple_at_1000_Hz_0_deg,Ripple_at_10000_Hz_0_deg,Ripple_at_100000_Hz_0_deg,Ripple_at_1000000_Hz_0_deg,Ripple_at_100_Hz_40_deg,Ripple_at_1000_Hz_40_deg,Ripple_at_10000_Hz_40_deg,Ripple_at_100000_Hz_40_deg,Ripple_at_1000000_Hz_40_deg,Ripple_at_100_Hz_80_deg,Ripple_at_1000_Hz_80_deg,Ripple_at_10000_Hz_80_deg,Ripple_at_100000_Hz_80_deg,Ripple_at_1000000_Hz_80_deg,Ripple_at_100_Hz_120_deg,Ripple_at_1000_Hz_120_deg,Ripple_at_10000_Hz_120_deg,Ripple_at_100000_Hz_120_deg,Ripple_at_1000000_Hz_120_deg,Ripple_at_100_Hz_160_deg,Ripple_at_1000_Hz_160_deg,Ripple_at_10000_Hz_160_deg,Ripple_at_100000_Hz_160_deg,Ripple_at_1000000_Hz_160_deg
A700V107M002ATE016,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,873.8988577,93.26404908,29.51946063,21.26831749,22.00138608,527.545056,56.3005519,17.81996323,12.83900951,13.28153979,429.2897643,45.81457144,14.50099423,10.44774338,10.80785237,302.5699656,32.29080788,10.22052164,7.363728691,7.617538997,159.6972115,17.04317203,5.394417794,3.886595075,4.020556812,223.9365823,23.89891258,7.564361787,5.450006357,5.637855182,135.1834206,14.42701642,4.566365578,3.289996186,3.403394571,110.0055021,11.73998393,3.715879772,2.67723424,2.76951217,77.53355369,8.27451952,2.619008671,1.886955477,1.951994368,40.92241045,4.367312834,1.38231956,0.995939988,1.030267683
A700V107M002ATE018,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700V107M002ATE025,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,1365.466965,145.7250767,46.12415724,33.23174608,34.37716574,824.28915,87.96961235,27.84369255,20.06095235,20.75240592,670.7652567,71.58526787,22.65780349,16.32459902,16.88726933,472.7655713,50.45438732,15.96956507,11.50582608,11.90240468,249.526893,26.6299563,8.428777803,6.072804805,6.282120019,180.2416394,19.23571012,6.088388756,4.386590482,4.537785878,108.8061678,11.61198883,3.675367416,2.648045711,2.739317581,88.54101388,9.449255359,2.990830061,2.154847071,2.229119552,62.40505541,6.659979126,2.107982589,1.518769043,1.571117418,32.93754987,3.515154232,1.11259867,0.801610234,0.829239843
A700V107M002ATE028,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,1529.323001,163.2120859,51.65905611,37.21955561,38.50242563,923.203848,98.52596583,31.18493565,22.46826664,23.24269463,751.2570875,80.17550001,25.37673991,18.28355091,18.91374165,529.4974398,56.50891379,17.88591287,12.88652521,13.33069325,279.4701201,29.82555106,9.44023114,6.801541382,7.035974421,169.3179037,18.06990951,5.719395498,4.120736514,4.262768552,102.2118546,10.90823193,3.452617876,2.487558092,2.573298334,83.17489183,8.876573216,2.809567633,2.024250279,2.094021397,58.62293084,6.256344027,1.980226068,1.426722434,1.475898181,30.94133473,3.302114582,1.045168448,0.753027796,0.778982882
A700V157M002ATE015,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,229.3984502,24.48181288,7.748858416,5.582933341,5.775363845,138.4805772,14.77889487,4.677740348,3.370239995,3.486404194,112.6885631,12.026325,3.806510986,2.742532636,2.837061247,79.42461597,8.476337069,2.682886931,1.932978781,1.999603987,41.92051802,4.473832659,1.416034671,1.020231207,1.055396163
A700V157M002ATE018,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700V157M002ATE025,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,1365.466965,145.7250767,46.12415724,33.23174608,34.37716574,824.28915,87.96961235,27.84369255,20.06095235,20.75240592,670.7652567,71.58526787,22.65780349,16.32459902,16.88726933,472.7655713,50.45438732,15.96956507,11.50582608,11.90240468,249.526893,26.6299563,8.428777803,6.072804805,6.282120019,180.2416394,19.23571012,6.088388756,4.386590482,4.537785878,108.8061678,11.61198883,3.675367416,2.648045711,2.739317581,88.54101388,9.449255359,2.990830061,2.154847071,2.229119552,62.40505541,6.659979126,2.107982589,1.518769043,1.571117418,32.93754987,3.515154232,1.11259867,0.801610234,0.829239843
A700V157M002ATE028,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,1529.323001,163.2120859,51.65905611,37.21955561,38.50242563,923.203848,98.52596583,31.18493565,22.46826664,23.24269463,751.2570875,80.17550001,25.37673991,18.28355091,18.91374165,529.4974398,56.50891379,17.88591287,12.88652521,13.33069325,279.4701201,29.82555106,9.44023114,6.801541382,7.035974421,169.3179037,18.06990951,5.719395498,4.120736514,4.262768552,102.2118546,10.90823193,3.452617876,2.487558092,2.573298334,83.17489183,8.876573216,2.809567633,2.024250279,2.094021397,58.62293084,6.256344027,1.980226068,1.426722434,1.475898181,30.94133473,3.302114582,1.045168448,0.753027796,0.778982882
A700D187M002ATE015,2,,180,rectangular,1,73,43,31,,,0.022,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,223.9365823,23.89891258,7.564361787,5.450006357,5.637855182,135.1834206,14.42701642,4.566365578,3.289996186,3.403394571,110.0055021,11.73998393,3.715879772,2.67723424,2.76951217,77.53355369,8.27451952,2.619008671,1.886955477,1.951994368,40.92241045,4.367312834,1.38231956,0.995939988,1.030267683
A700D187M002ATE018,2,,180,rectangular,1,73,43,31,,,0.022,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,202.0891109,21.56731135,6.826375271,4.91829842,5.08782053,121.9947942,13.01950263,4.120866497,2.969020948,3.071356076,99.27325799,10.59461964,3.353354916,2.416040656,2.499315861,69.96930455,7.467249323,2.36349563,1.70286226,1.761555893,36.92998016,3.941233533,1.247459115,0.898775111,0.929753763
A700Q227M002ATE009,2,,220,rectangular,1,73,43,12,,,0.044,105,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,491.5681075,52.46102761,16.60469661,11.96342859,12.37577967,296.744094,31.66906044,10.02372932,7.221942847,7.470866131,241.4754924,25.77069643,8.156809256,5.876855649,6.079416959,170.1956057,18.16357943,5.749043424,4.142097389,4.284865686,89.82968147,9.586784269,3.034360009,2.18620973,2.261563207,322.2502038,34.3911181,10.88530111,7.842692075,8.113011115,194.5322394,20.76082851,6.571111442,4.734384755,4.897567797,158.3006006,16.89412322,5.347241623,3.85260537,3.985395562,111.5726748,11.90723541,3.768817356,2.715374955,2.808967505,58.88834674,6.284669687,1.989191562,1.433181934,1.482580324
A700W227M002ATE006,2,,220,rectangular,1,73,43,15,,,0.026,105,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,327.7120717,34.97401841,11.06979774,7.975619059,8.250519778,197.829396,21.11270696,6.682486212,4.814628565,4.98057742,160.9836616,17.18046429,5.437872837,3.917903766,4.052944639,113.4637371,12.10905296,3.832695616,2.761398259,2.856577124,59.88645432,6.391189513,2.022906673,1.457473153,1.507708805,376.8688824,40.22012117,12.7302674,9.171961918,9.488097745,227.5038054,24.27961301,7.684859144,5.536822849,5.727664033,185.1312108,19.75753393,6.253553763,4.505589331,4.660886335,130.4832977,13.9254109,4.407599958,3.175607998,3.285063693,68.86942246,7.34986794,2.326342674,1.676094126,1.733865125
A700W227M002ATE009,2,,220,rectangular,1,73,43,15,,,0.026,105,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,491.5681075,52.46102761,16.60469661,11.96342859,12.37577967,296.744094,31.66906044,10.02372932,7.221942847,7.470866131,241.4754924,25.77069643,8.156809256,5.876855649,6.079416959,170.1956057,18.16357943,5.749043424,4.142097389,4.284865686,89.82968147,9.586784269,3.034360009,2.18620973,2.261563207,311.3264681,33.22531749,10.51630785,7.576838106,7.837993789,187.9379262,20.05707161,6.348361901,4.573897136,4.731548549,152.9344785,16.32144107,5.165979196,3.722008578,3.850297407,107.7905503,11.50360031,3.641060835,2.623328346,2.713748268,56.8921316,6.071630037,1.921761339,1.384599496,1.432323364
A700V227M002ATE009,2,,220,rectangular,1,73,43,20,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,491.5681075,52.46102761,16.60469661,11.96342859,12.37577967,296.744094,31.66906044,10.02372932,7.221942847,7.470866131,241.4754924,25.77069643,8.156809256,5.876855649,6.079416959,170.1956057,18.16357943,5.749043424,4.142097389,4.284865686,89.82968147,9.586784269,3.034360009,2.18620973,2.261563207,300.4027323,32.05951687,10.14731459,7.310984137,7.562976464,181.343613,19.35331472,6.125612361,4.413409518,4.565529302,147.5683565,15.74875893,4.984716768,3.591411785,3.715199253,104.0084257,11.09996521,3.513304315,2.531281738,2.61852903,54.89591646,5.858590387,1.854331117,1.336017057,1.382066404
A700V227M002ATE015,2,,220,rectangular,1,73,43,20,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,229.3984502,24.48181288,7.748858416,5.582933341,5.775363845,138.4805772,14.77889487,4.677740348,3.370239995,3.486404194,112.6885631,12.026325,3.806510986,2.742532636,2.837061247,79.42461597,8.476337069,2.682886931,1.932978781,1.999603987,41.92051802,4.473832659,1.416034671,1.020231207,1.055396163
A700V227M002ATE018,2,,220,rectangular,1,73,43,20,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700D227M002ATE009,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,491.5681075,52.46102761,16.60469661,11.96342859,12.37577967,296.744094,31.66906044,10.02372932,7.221942847,7.470866131,241.4754924,25.77069643,8.156809256,5.876855649,6.079416959,170.1956057,18.16357943,5.749043424,4.142097389,4.284865686,89.82968147,9.586784269,3.034360009,2.18620973,2.261563207,289.4789966,30.89371626,9.778321335,7.045130169,7.287959138,174.7492998,18.64955782,5.90286282,4.252921899,4.399510055,142.2022344,15.17607679,4.80345434,3.460814993,3.580101098,100.2263011,10.69633011,3.385547794,2.439235129,2.523309793,52.89970131,5.645550736,1.786900894,1.287434619,1.331809444
A700D227M002ATE012,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,655.4241433,69.94803681,22.13959547,15.95123812,16.50103956,395.658792,42.22541393,13.36497242,9.629257129,9.961154841,321.9673232,34.36092858,10.87574567,7.835807532,8.105889279,226.9274742,24.21810591,7.665391232,5.522796518,5.713154248,119.7729086,12.78237903,4.045813346,2.914946306,3.015417609,251.2459216,26.81341411,8.486844932,6.114641278,6.325398497,151.6692036,16.18640867,5.123239429,3.691215233,3.818442689,123.4208072,13.17168929,4.169035842,3.00372622,3.107257557,86.98886511,9.283607266,2.938399972,2.117071999,2.190042462,45.91294831,4.89991196,1.550895116,1.117396084,1.155910084
A700D227M002ATE015,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,223.9365823,23.89891258,7.564361787,5.450006357,5.637855182,135.1834206,14.42701642,4.566365578,3.289996186,3.403394571,110.0055021,11.73998393,3.715879772,2.67723424,2.76951217,77.53355369,8.27451952,2.619008671,1.886955477,1.951994368,40.92241045,4.367312834,1.38231956,0.995939988,1.030267683
A700D227M002ATE018,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,202.0891109,21.56731135,6.826375271,4.91829842,5.08782053,121.9947942,13.01950263,4.120866497,2.969020948,3.071356076,99.27325799,10.59461964,3.353354916,2.416040656,2.499315861,69.96930455,7.467249323,2.36349563,1.70286226,1.761555893,36.92998016,3.941233533,1.247459115,0.898775111,0.929753763
A700X277M002ATE010,2,,270,rectangular,1,73,43,43,,,0.032,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,546.1867861,58.29003068,18.4496629,13.29269843,13.7508663,329.71566,35.18784494,11.13747702,8.024380941,8.300962367,268.3061027,28.63410715,9.063121396,6.52983961,6.754907732,189.1062285,20.18175493,6.387826026,4.602330432,4.760961873,99.81075719,10.65198252,3.371511121,2.429121922,2.512848008,256.7077895,27.39631442,8.671341561,6.247568263,6.46290716,154.9663602,16.53828712,5.234614199,3.771459042,3.901452313,126.1038683,13.45803036,4.259667056,3.069024617,3.174806634,88.8799274,9.485424816,3.002278232,2.163095303,2.23765208,46.91105588,5.006431785,1.584610227,1.141687303,1.181038564
A700X277M002ATE012,2,,270,rectangular,1,73,43,43,,,0.032,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,655.4241433,69.94803681,22.13959547,15.95123812,16.50103956,395.658792,42.22541393,13.36497242,9.629257129,9.961154841,321.9673232,34.36092858,10.87574567,7.835807532,8.105889279,226.9274742,24.21810591,7.665391232,5.522796518,5.713154248,119.7729086,12.78237903,4.045813346,2.914946306,3.015417609,234.860318,25.06471319,7.933355045,5.715860326,5.912872508,141.7777338,15.13077332,4.789115118,3.450483805,3.569413818,115.3716241,12.31266607,3.8971422,2.807831032,2.904610325,81.31567826,8.678154618,2.746765191,1.979002086,2.047213606,42.91862559,4.580352484,1.449749782,1.044522426,1.080524643
A700X277M002ATE015,2,,270,rectangular,1,73,43,43,,,0.032,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700V337M002ATE4R5,2,,330,rectangular,1,73,43,21,,,0.04,125,1000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,245.7840537,26.2305138,8.302348303,5.981714294,6.187889834,148.372047,15.83453022,5.011864659,3.610971423,3.735433065,120.7377462,12.88534822,4.078404628,2.938427824,3.039708479,85.09780283,9.081789717,2.874521712,2.071048694,2.142432843,44.91484074,4.793392135,1.517180005,1.093104865,1.130781603,423.2947592,45.17477377,14.29848874,10.30184128,10.65692138,255.5296365,27.27057983,8.63154469,6.218895229,6.433245835,207.9372296,22.19143304,7.023919082,5.060625698,5.235053492,146.5573271,15.64086007,4.950565171,3.566806085,3.689745452,77.35333682,8.255286454,2.612921119,1.88256949,1.947457206
A700V337M002ATE006,2,,330,rectangular,1,73,43,21,,,0.04,125,1000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,327.7120717,34.97401841,11.06979774,7.975619059,8.250519778,197.829396,21.11270696,6.682486212,4.814628565,4.98057742,160.9836616,17.18046429,5.437872837,3.917903766,4.052944639,113.4637371,12.10905296,3.832695616,2.761398259,2.856577124,59.88645432,6.391189513,2.022906673,1.457473153,1.507708805,365.9451467,39.05432055,12.36127414,8.906107949,9.213080419,220.9094922,23.57585611,7.462109603,5.376335231,5.561644786,179.7650888,19.18485179,6.072291335,4.374992538,4.525788181,126.7011731,13.5217758,4.279843438,3.083561389,3.189844455,66.87320732,7.136828289,2.258912451,1.627511688,1.683608165
A700V337M002ATE009,2,,330,rectangular,1,73,43,21,,,0.04,125,1000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,491.5681075,52.46102761,16.60469661,11.96342859,12.37577967,296.744094,31.66906044,10.02372932,7.221942847,7.470866131,241.4754924,25.77069643,8.156809256,5.876855649,6.079416959,170.1956057,18.16357943,5.749043424,4.142097389,4.284865686,89.82968147,9.586784269,3.034360009,2.18620973,2.261563207,300.4027323,32.05951687,10.14731459,7.310984137,7.562976464,181.343613,19.35331472,6.125612361,4.413409518,4.565529302,147.5683565,15.74875893,4.984716768,3.591411785,3.715199253,104.0084257,11.09996521,3.513304315,2.531281738,2.61852903,54.89591646,5.858590387,1.854331117,1.336017057,1.382066404
A700D337M002ATE007,2,,330,rectangular,1,73,43,31,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,382.3307503,40.80302147,12.91476403,9.304888902,9.625606408,230.800962,24.63149146,7.796233914,5.617066659,5.810673657,187.8142719,20.043875,6.344184977,4.570887727,4.728435412,132.37436,14.12722845,4.471478219,3.221631302,3.332673311,69.86753004,7.456387765,2.360057785,1.700385345,1.758993605,327.7120717,34.97401841,11.06979774,7.975619059,8.250519778,197.829396,21.11270696,6.682486212,4.814628565,4.98057742,160.9836616,17.18046429,5.437872837,3.917903766,4.052944639,113.4637371,12.10905296,3.832695616,2.761398259,2.856577124,59.88645432,6.391189513,2.022906673,1.457473153,1.507708805
A700D337M002ATE009,2,,330,rectangular,1,73,43,31,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,491.5681075,52.46102761,16.60469661,11.96342859,12.37577967,296.744094,31.66906044,10.02372932,7.221942847,7.470866131,241.4754924,25.77069643,8.156809256,5.876855649,6.079416959,170.1956057,18.16357943,5.749043424,4.142097389,4.284865686,89.82968147,9.586784269,3.034360009,2.18620973,2.261563207,289.4789966,30.89371626,9.778321335,7.045130169,7.287959138,174.7492998,18.64955782,5.90286282,4.252921899,4.399510055,142.2022344,15.17607679,4.80345434,3.460814993,3.580101098,100.2263011,10.69633011,3.385547794,2.439235129,2.523309793,52.89970131,5.645550736,1.786900894,1.287434619,1.331809444
A700D337M002ATE012,2,,330,rectangular,1,73,43,31,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,655.4241433,69.94803681,22.13959547,15.95123812,16.50103956,395.658792,42.22541393,13.36497242,9.629257129,9.961154841,321.9673232,34.36092858,10.87574567,7.835807532,8.105889279,226.9274742,24.21810591,7.665391232,5.522796518,5.713154248,119.7729086,12.78237903,4.045813346,2.914946306,3.015417609,251.2459216,26.81341411,8.486844932,6.114641278,6.325398497,151.6692036,16.18640867,5.123239429,3.691215233,3.818442689,123.4208072,13.17168929,4.169035842,3.00372622,3.107257557,86.98886511,9.283607266,2.938399972,2.117071999,2.190042462,45.91294831,4.89991196,1.550895116,1.117396084,1.155910084
A700X337M002ATE010,2,,330,rectangular,1,73,43,43,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,546.1867861,58.29003068,18.4496629,13.29269843,13.7508663,329.71566,35.18784494,11.13747702,8.024380941,8.300962367,268.3061027,28.63410715,9.063121396,6.52983961,6.754907732,189.1062285,20.18175493,6.387826026,4.602330432,4.760961873,99.81075719,10.65198252,3.371511121,2.429121922,2.512848008,256.7077895,27.39631442,8.671341561,6.247568263,6.46290716,154.9663602,16.53828712,5.234614199,3.771459042,3.901452313,126.1038683,13.45803036,4.259667056,3.069024617,3.174806634,88.8799274,9.485424816,3.002278232,2.163095303,2.23765208,46.91105588,5.006431785,1.584610227,1.141687303,1.181038564
A700X337M002ATE015,2,,330,rectangular,1,73,43,43,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700X397M002ATE010,2,,390,rectangular,1,73,43,43,,,0.047,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,546.1867861,58.29003068,18.4496629,13.29269843,13.7508663,329.71566,35.18784494,11.13747702,8.024380941,8.300962367,268.3061027,28.63410715,9.063121396,6.52983961,6.754907732,189.1062285,20.18175493,6.387826026,4.602330432,4.760961873,99.81075719,10.65198252,3.371511121,2.429121922,2.512848008,256.7077895,27.39631442,8.671341561,6.247568263,6.46290716,154.9663602,16.53828712,5.234614199,3.771459042,3.901452313,126.1038683,13.45803036,4.259667056,3.069024617,3.174806634,88.8799274,9.485424816,3.002278232,2.163095303,2.23765208,46.91105588,5.006431785,1.584610227,1.141687303,1.181038564
A700X397M002ATE015,2,,390,rectangular,1,73,43,43,,,0.047,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700V477M002ATE4R5,2,,470,rectangular,1,73,43,21,,,0.056,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,245.7840537,26.2305138,8.302348303,5.981714294,6.187889834,148.372047,15.83453022,5.011864659,3.610971423,3.735433065,120.7377462,12.88534822,4.078404628,2.938427824,3.039708479,85.09780283,9.081789717,2.874521712,2.071048694,2.142432843,44.91484074,4.793392135,1.517180005,1.093104865,1.130781603,423.2947592,45.17477377,14.29848874,10.30184128,10.65692138,255.5296365,27.27057983,8.63154469,6.218895229,6.433245835,207.9372296,22.19143304,7.023919082,5.060625698,5.235053492,146.5573271,15.64086007,4.950565171,3.566806085,3.689745452,77.35333682,8.255286454,2.612921119,1.88256949,1.947457206
