mfg_number,quantity,price,mfg_name,description
ESH106M050AC3AA,1,1.49,KEMET,CAP ALUM 10UF 20% 50V RADIAL TH
ESH336M025AC3AA,1,1.49,KEMET,CAP ALUM 33UF 20% 25V RADIAL TH
ESK106M050AC3DA,1,1.49,KEMET,CAP ALUM 10UF 20% 50V RADIAL TH
ESK475M100AC3AA,1,1.49,KEMET,CAP ALUM 4.7UF 20% 100V RADIAL
ESY156M035AC2AA,1,1.49,KEMET,CAP ALUM 15UF 20% 35V RADIAL TH
ESK106M016AC3AA,1,1.49,KEMET,CAP ALUM 10UF 20% 16V RADIAL TH
ESL474M063AC3AA,1,1.49,KEMET,CAP ALUM 0.47UF 20% 63V RADIAL
ESK476M016AC3KA,1,1.49,KEMET,CAP ALUM 47UF 20% 16V RADIAL TH
ESK105M100AC3FA,1,1.57,KEMET,CAP ALUM 1UF 20% 100V RADIAL TH
ESS106M035AC2AA,1,1.57,KEMET,CAP ALUM RAD 105C
ESS476M016AC2AA,1,1.57,KEMET,CAP ALUM RAD 105C
ESK106M025AC3AA,1,1.57,KEMET,CAP ALUM RAD 85C
ESH106M063AC3AA,1,1.57,KEMET,CAP ALUM 10UF 20% 63V RADIAL TH
ESS105M050AB2AA,1,1.57,KEMET,CAP ALUM RAD 105C
ESK107M025AC3AA,1,1.57,KEMET,CAP ALUM 100UF 20% 25V RADIAL TH
ESS476M025AE2EA,1,1.57,KEMET,CAP ALUM 47UF 20% 25V RADIAL TH
ESH105M100AC3AA,1,1.57,KEMET,CAP ALUM 1UF 20% 100V RADIAL TH
ESH226M050AC3AA,1,1.57,KEMET,CAP ALUM 22UF 20% 50V RADIAL TH
ESK227M6R3AC3AA,1,1.57,KEMET,CAP ALUM 220UF 20% 6.3V RADIAL
ESK225M050AC3AA,1,1.57,KEMET,CAP ALUM 2.2UF 20% 50V RADIAL TH
ESY476M016AC3AA,1,1.57,KEMET,CAP ALUM 47UF 20% 16V RADIAL TH
ESK475M016AC3AA,1,1.57,KEMET,CAP ALUM 4.7UF 20% 16V RADIAL TH
ESK107M025AE3EA,1,1.65,KEMET,CAP ALUM 100UF 20% 25V RADIAL TH
ESK476M025AC3FA,1,1.65,KEMET,CAP ALUM 47UF 20% 25V RADIAL TH
ESK107M025AE3AA,1,1.65,KEMET,CAP ALUM 100UF 20% 25V RADIAL TH
ESK226M6R3AC3AA,1,1.65,KEMET,CAP ALUM RAD 85C
ESS106M035AC2EA,1,1.65,KEMET,CAP ALUM 10UF 20% 35V RADIAL TH
