mfg_number,quantity,price,mfg_name,description
A780EN476M1HLAS050,1,6.7,KEMET,CAP ALUM HYBRID 47UF 20% 50V SMD
A780EN276M1JLAS060,1,6.86,KEMET,CAP ALUM HYBRID 27UF 20% 63V SMD
A759BQ106M1HAAE105,1,7.03,KEMET,CAP ALUM POLY 10UF 20% 50V TH
A765EB476M1ELAE040,1,7.03,KEMET,CAP ALUM POLY 47UF 20% 25V SMD
A750MS108M1AAAE013,1,7.11,KEMET,CAP ALUM POLY 1000UF 20% 10V TH
A765KH477M0JLAE016,1,7.11,KEMET,CAP ALUM POLY 470UF 20% 6.3V SMD
A759BQ336M1VAAE075,1,7.19,KEMET,CAP ALUM POLY 33UF 20% 35V TH
A759BQ226M1HAAE075,1,7.28,KEMET,CAP ALUM POLY 22UF 20% 50V TH
A750MU228M0GAAE007,1,7.53,KEMET,CAP ALUM POLY 2200UF 20% 4V TH
A759KS107M1EAAE025,1,7.69,KEMET,CAP ALUM POLY 100UF 20% 25V TH
A768KS157M1GLAS025,1,7.69,KEMET,CAP ALUM POLY 150UF 20% 40V SMD
A765KN227M1ALAE020,1,7.77,KEMET,CAP ALUM POLY 220UF 20% 10V SMD
A759MS477M1EAAE020,1,7.94,KEMET,CAP ALUM POLY 470UF 20% 25V TH
A785KN227M1ELAS029,1,7.94,KEMET,CAP ALUM HYB 220UF 20% 25V SMD
A755KS227M1EAAE025,1,8.1,KEMET,CAP ALUM POLY 220UF 20% 25V TH
A755KS107M1EAAE025,1,8.27,KEMET,CAP ALUM POLY 100UF 20% 25V TH
A759MS158M0JAAE013,1,8.35,KEMET,CAP ALUM POLY 1500UF 20% 6.3V TH
A759MS108M1AAAE012,1,8.43,KEMET,CAP ALUM POLY 1000UF 20% 10V TH
A750KV277M1VAAE020,1,8.52,KEMET,CAP ALUM POLY 270UF 20% 35V TH
A768KS477M1CLAE017,1,8.52,KEMET,CAP ALUM POLY 470UF 20% 16V SMD
A765KN108M0JLAE012,1,8.6,KEMET,CAP ALUM POLY 1000UF 20% 6.3V
A768MS477M1ELAE017,1,8.6,KEMET,CAP ALUM POLY 470UF 20% 25V SMD
A768KS397M1DLAE017,1,8.6,KEMET,CAP ALUM POLY 390UF 20% 20V SMD
A768KS337M1ELAE019,1,8.6,KEMET,CAP ALUM POLY 330UF 20% 25V SMD
A765KN227M1CLAE016,1,8.6,KEMET,CAP ALUM POLY 220UF 20% 16V SMD
A768MS277M1VLAE022,1,8.68,KEMET,CAP ALUM POLY 270UF 20% 35V SMD
A768MS687M1DLAE015,1,8.68,KEMET,CAP ALUM POLY 680UF 20% 20V SMD
A780KN157M1VLAS030,1,8.68,KEMET,CAP ALUM HYB 150UF 20% 35V SMD
A768KS187M1VLAE024,1,8.77,KEMET,CAP ALUM POLY 180UF 20% 35V SMD
A768KS476M1JLAE031,1,8.77,KEMET,CAP ALUM POLY 47UF 20% 63V SMD
A765KN277M1CLAE016,1,8.77,KEMET,CAP ALUM POLY 270UF 20% 16V SMD
A750MS108M1CAAE013,1,8.85,KEMET,CAP ALUM POLY 1000UF 20% 16V TH
A768MS127M1HLAE024,1,8.85,KEMET,CAP ALUM POLY 120UF 20% 50V SMD
A759EQ475M2AAAE160,1,8.93,KEMET,CAP ALUM POLY 4.7UF 20% 100V TH
A768MS477M1ELAS017,1,8.93,KEMET,CAP ALUM POLY 470UF 20% 25V SMD
A750KW687M1EAAE016,1,8.93,KEMET,CAP ALUM POLY 680UF 20% 25V TH
A768KS566M1JLAE031,1,9.01,KEMET,CAP ALUM POLY 56UF 20% 63V SMD
A768MS227M1GLAS022,1,9.01,KEMET,CAP ALUM POLY 220UF 20% 40V SMD
A768MS157M1HLAE024,1,9.1,KEMET,CAP ALUM POLY 150UF 20% 50V SMD
A768KS227M1VLAE024,1,9.18,KEMET,CAP ALUM POLY 220UF 20% 35V SMD
A768MS476M1KLAE034,1,9.18,KEMET,CAP ALUM POLY 47UF 20% 80V SMD
A769KS227M1VLAS016,1,9.18,KEMET,CAP ALUM POLY 220UF 20% 35V SMD
A759MS158M1AAAE012,1,9.26,KEMET,CAP ALUM POLY 1500UF 20% 10V TH
A768KS396M1KLAE038,1,9.34,KEMET,CAP ALUM POLY 39UF 20% 80V SMD
A768MS107M1HLAE024,1,9.43,KEMET,CAP ALUM POLY 100UF 20% 50V SMD
A768MS337M1VLAS022,1,9.43,KEMET,CAP ALUM POLY 330UF 20% 35V SMD
A750MV158M1CAAE010,1,9.59,KEMET,CAP ALUM POLY 1500UF 20% 16V TH
A750MS477M1EAAE015,1,9.59,KEMET,CAP ALUM POLY 470UF 20% 25V TH
A765KN337M1CLAE016,1,9.68,KEMET,CAP ALUM POLY 330UF 20% 16V SMD
A782MN107M1HLAS030,1,9.84,KEMET,CAP ALUM HYB 100UF 20% 50V SMD
A780KS107M1HLAS031,1,9.92,KEMET,CAP ALUM HYB 100UF 20% 50V SMD
A750MV477M1VAAE018,1,10.09,KEMET,CAP ALUM POLY 470UF 20% 35V TH
A750MV108M1EAAE014,1,10.09,KEMET,CAP ALUM POLY 1000UF 20% 25V TH
A781MN477M1ELAS025,1,10.09,KEMET,CAP ALUM HYB 470UF 20% 25V SMD
A765KN107M1ELAE024,1,10.58,KEMET,CAP ALUM POLY 100UF 20% 25V SMD
A700V476M006ATE028,1,10.83,KEMET,CAP ALUM POLY 47UF 20% 6.3V SMD
A750MW228M1CAAE010,1,10.83,KEMET,CAP ALUM POLY 2200UF 20% 16V TH
A782MS227M1VLAS020,1,10.92,KEMET,CAP ALUM HYB 220UF 20% 35V SMD
A750MV157M1JAAE022,1,11.08,KEMET,CAP ALUM POLY 150UF 20% 63V TH
A782MS107M1JLAS030,1,11.25,KEMET,CAP ALUM HYB 100UF 20% 63V SMD
A759KK225M2EAAE685,1,11.33,KEMET,CAP ALUM POLY 2.2UF 20% 250V TH
A771MS567M1ELAS011,1,11.41,KEMET,CAP ALUM POLY 560UF 20% 25V SMD
A781MN107M1HLAS030,1,11.49,KEMET,CAP ALUM HYB 100UF 20% 50V SMD
A781MN337M1ELAS025,1,11.49,KEMET,CAP ALUM HYB 330UF 20% 25V SMD
A769MS107M1JLAS018,1,11.58,KEMET,CAP ALUM POLY 100UF 20% 63V SMD
A755MS158M0JAAE013,1,11.74,KEMET,CAP ALUM POLY 1500UF 20% 6.3V TH
A767KN476M1VLAE031,1,11.99,KEMET,CAP ALUM POLY 47UF 20% 35V SMD
A755MS158M1AAAE013,1,11.99,KEMET,CAP ALUM POLY 1500UF 20% 10V TH
A780MS337M1VLAS020,1,12.4,KEMET,CAP ALUM HYB 330UF 20% 35V SMD
A759KS107M1VAAE031,1,12.49,KEMET,CAP ALUM POLY 100UF 20% 35V TH
A750MW128M1EAAE014,1,12.57,KEMET,CAP ALUM POLY 1200UF 20% 25V TH
A750MW187M1JAAE020,1,12.9,KEMET,CAP ALUM POLY 180UF 20% 63V TH
A750MW687M1VAAE018,1,12.98,KEMET,CAP ALUM POLY 680UF 20% 35V TH
A759KS475M2EAAE496,1,13.31,KEMET,CAP ALUM POLY 4.7UF 20% 250V TH
A781MS107M1JLAS030,1,13.48,KEMET,CAP ALUM HYB 100UF 20% 63V SMD
A759KS156M2AAAE052,1,14.55,KEMET,CAP ALUM POLY 15UF 20% 100V TH
A759KS106M2CAAE110,1,14.89,KEMET,CAP ALUM POLY 10UF 20% 160V TH
A780MN277M1VLAV025,1,15.3,KEMET,CAP ALUM HYB 270UF 20% 35V SMD
A785MW227M1HLAS015,1,15.46,KEMET,CAP ALUM HYB 220UF 20% 50V SMD
A785MW477M1VLAS015,1,15.55,KEMET,CAP ALUM HYB 470UF 20% 35V SMD
A780MS107M1JLAS030,1,15.55,KEMET,CAP ALUM HYB 100UF 20% 63V SMD
A700V686M006ATE018,1,16.54,KEMET,CAP ALUM POLY 68UF 20% 6.3V SMD
A767KN476M1HLAE029,1,17.2,KEMET,CAP ALUM POLY 47UF 20% 50V SMD
A767KN226M1KLAE045,1,17.28,KEMET,CAP ALUM POLY 22UF 20% 80V SMD
A700V226M010ATE028,1,17.37,KEMET,CAP ALUM POLY 22UF 20% 10V SMD
A700V477M002ATE4R5,1,17.7,KEMET,CAP ALUM POLY 470UF 20% 2V SMD
A720V477M002APE003,1,17.94,KEMET,CAP ALUM POLY 470UF 20% 2V SMD
A767KN566M1HLAE029,1,18.03,KEMET,CAP ALUM POLY 56UF 20% 50V SMD
A720V477M2R5APE003,1,18.19,KEMET,CAP ALUM POLY 470UF 20% 2.5V SMD
A767MU227M1VLAE028,1,18.77,KEMET,CAP ALUM POLY 220UF 20% 35V SMD
A700V106M12RATE060,1,18.85,KEMET,CAP ALUM POLY 10UF 20% 12.5V SMD
A759MS685M2EAAE482,1,19.19,KEMET,CAP ALUM POLY 6.8UF 20% 250V TH
A759MS107M1HAAE031,1,19.52,KEMET,CAP ALUM POLY 100UF 20% 50V TH
A785MW227M1HLAV015,1,19.6,KEMET,CAP ALUM HYB 220UF 20% 50V SMD
A700V336M006ATE028,1,20.09,KEMET,CAP ALUM POLY 33UF 20% 6.3V SMD
A700V106M006ATE055,1,20.09,KEMET,CAP ALUM POLY 10UF 20% 6.3V SMD
A700X187M006ATE015,1,20.26,KEMET,CAP ALUM POLY 180UF 20% 6.3V SMD
A759MS226M2AAAE045,1,20.34,KEMET,CAP ALUM POLY 22UF 20% 100V TH
A768MS477M1ELAV017,1,20.59,KEMET,CAP ALUM POLY 470UF 20% 25V SMD
A768MS157M1HLAV024,1,20.67,KEMET,CAP ALUM POLY 150UF 20% 50V SMD
A768MS107M1HLAV024,1,20.92,KEMET,CAP ALUM POLY 100UF 20% 50V SMD
A798V477M2R5APE003,1,20.92,KEMET,CAP ALUM POLY 470UF 20% 2.5V SMD
A768MS107M1JLAV027,1,21.17,KEMET,CAP ALUM POLY 100UF 20% 63V SMD
A784MW567M1VLAV013,1,21.42,KEMET,CAP ALUM HYB 560UF 20% 35V SMD
A700X187M006ATE010,1,21.5,KEMET,CAP ALUM POLY 180UF 20% 6.3V SMD
A700D476M12RATE025,1,24.64,KEMET,CAP ALUM POLY 47UF 20% 12.5V SMD
A768MS227M1GLAV022,1,24.81,KEMET,CAP ALUM POLY 220UF 20% 40V SMD
A700D566M010ATE015,1,24.97,KEMET,CAP ALUM POLY 56UF 20% 10V SMD
