mfg_number,quantity,price,mfg_name,description
B32776G0126J000,1,73.18,EPCOS - TDK Electronics,CAP FILM 12UF 1.1KVDC RAD 4 LEAD
B32774D4226K000,1,75.25,EPCOS - TDK Electronics,CAP FILM 22UF 10% 450VDC RADIAL
B32756G7206K000,1,82.94,EPCOS - TDK Electronics,CAP FILM 20UF 10% 560VDC RADIAL
B32524Q1476K000,1,83.85,EPCOS - TDK Electronics,CAP FILM 47UF 10% 100VDC RADIAL
B32776G1106K000,1,88.32,EPCOS - TDK Electronics,CAP FILM 10UF 1.3KVDC RAD 4 LEAD
B32928C3306M000,1,94.93,EPCOS - TDK Electronics,CAP FILM 30UF 20% 630VDC RADIAL
B32776G0146K000,1,96.5,EPCOS - TDK Electronics,CAP FILM 14UF 1.1KVDC RAD 4 LEAD
B32524Q1686K000,1,104.53,EPCOS - TDK Electronics,CAP FILM 68UF 10% 100VDC RADIAL
B32776G4506K000,1,114.04,EPCOS - TDK Electronics,CAP FILM 50UF 450VDC RAD 4 LEAD
B32718H9856K000,1,123.3,EPCOS - TDK Electronics,Film Cap 85uF 900V
B32776G8306K000,1,130,EPCOS - TDK Electronics,CAP FILM 30UF 800VDC RAD 4 LEAD
B32778G8606K000,1,130.24,EPCOS - TDK Electronics,CAP FILM 60UF 800VDC RAD 4 LEAD
B32778G0406K000,1,143.23,EPCOS - TDK Electronics,CAP FILM 40UF 1.1KVDC RAD 4 LEAD
B32524R0107K000,1,157.12,EPCOS - TDK Electronics,CAP FILM 100UF 10% 63VDC RADIAL
B32916A5475M000,1,159.52,EPCOS - TDK Electronics,CAP FILM 4.7UF 20% 1KVDC RADIAL
B32361A4206J080,1,224.18,EPCOS - TDK Electronics,CAP FILM 20UF 5% 480VAC RADIAL
B32361A2107J050,1,254.12,EPCOS - TDK Electronics,CAP FILM 100UF 5% 250VAC RADIAL
B32361B3107J030,1,256.44,EPCOS - TDK Electronics,CAP FILM 100UF 5% 330VAC RADIAL
B32361A3806J030,1,258.83,EPCOS - TDK Electronics,CAP FILM 80UF 5% 330VAC RADIAL
B32361A4506J080,1,260.16,EPCOS - TDK Electronics,CAP FILM 50UF 5% 480VAC RADIAL
B32361A4606J080,1,266.11,EPCOS - TDK Electronics,CAP FILM 60UF 5% 480VAC RADIAL
B32778G4117K000,1,290.42,EPCOS - TDK Electronics,CAP FILM 110UF 450VDC RAD 4 LEAD
B32361B2207J050,1,335.08,EPCOS - TDK Electronics,CAP FILM 200UF 5% 250VAC RADIAL
B25632E1117K000,1,422.73,EPCOS - TDK Electronics,POWER ELECTRONIC CAPACITORS (PEC
B32362A3157J030,1,450.93,EPCOS - TDK Electronics,CAP FILM 150UF 5% 330VAC RADIAL
B32362A2307J050,1,548.68,EPCOS - TDK Electronics,CAP FILM 300UF 5% 250VAC RADIAL
B32362B2507J050,1,658.25,EPCOS - TDK Electronics,CAP FILM 500UF 5% 250VAC RADIAL
B25690A3107K003,1,809.41,EPCOS - TDK Electronics,100UF +-10% 3000V PEC MKP DC
B32362A3407J030,1,971.58,EPCOS - TDK Electronics,CAP FILM 400UF 5% 330VAC RADIAL
B25690A1128K103,1,1078.01,EPCOS - TDK Electronics,CAP FILM 1200UF 10% 1.1KV RADIAL
B25620B0118K883,1,1203.12,EPCOS - TDK Electronics,CAP FILM 1100UF 10% 900VDC RAD
B25620B1108K323,1,1470.8,EPCOS - TDK Electronics,CAP FILM 1000UF 10% 1.32KVDC RAD
B25620B1118K103,1,1544.4,EPCOS - TDK Electronics,CAP FILM 1100UF 10% 1.1KVDC RAD
B25620B1158K103,1,1560.45,EPCOS - TDK Electronics,CAP FILM 1500UF 10% 1.1KVDC RAD
B25690C1308K103,1,1856.08,EPCOS - TDK Electronics,CAP FILM 3000UF 10% 1.1KV RADIAL
B25690C3327K003,1,2366.8,EPCOS - TDK Electronics,320UF +-10% 3000V PEC MKP DC
B25645A1188K003,1,4118.19,EPCOS - TDK Electronics,MODULAR DCR 1865UF - 1350V - 130
B32559C1124K000,1,1.82,EPCOS - TDK Electronics,CAP FILM 0.12UF 10% 100VDC RAD
B32529C1222K000,1,1.9,EPCOS - TDK Electronics,CAP FILM 2200PF 10% 100VDC RAD
B32529C0683K000,1,1.9,EPCOS - TDK Electronics,CAP FILM 0.068UF 10% 63VDC RAD
B32529C0473K000,1,1.9,EPCOS - TDK Electronics,CAP FILM 0.047UF 10% 63VDC RAD
B32529C1223K000,1,1.9,EPCOS - TDK Electronics,CAP FILM 0.022UF 10% 100VDC RAD
B32529C0472K000,1,1.9,EPCOS - TDK Electronics,CAP FILM 4700PF 10% 63VDC RADIAL
B32529C1104K008,1,2.07,EPCOS - TDK Electronics,FILM CAP MKT BOX 0.1UF 10% 100VD
B32529C0223K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 0.022UF 10% 63VDC RAD
B32529C0104K006,1,2.07,EPCOS - TDK Electronics,FILM CAP MKT BOX 0.1UF 10% 63VDC
B32529C1104K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 100VDC RADIAL
B32529C1472K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 4700PF 10% 100VDC RAD
B32529C0153K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 0.015UF 10% 63VDC RAD
B32529C1332K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 3300PF 10% 100VDC RAD
B32529C0152K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 1500PF 10% 63VDC RADIAL
B32529C1104M000,1,2.07,EPCOS - TDK Electronics,CAP FILM 0.1UF 20% 100VDC RADIAL
B32529C1473K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 0.047UF 10% 100VDC RAD
B32529C0103K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 63VDC RAD
B32529C1103K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 100VDC RAD
B32529C0102K000,1,2.07,EPCOS - TDK Electronics,CAP FILM 1000PF 10% 63VDC RADIAL
B32529C1472K189,1,2.15,EPCOS - TDK Electronics,CAP FILM 4700PF 10% 100VDC RAD
B32529C1683K289,1,2.15,EPCOS - TDK Electronics,CAP FILM 0.068UF 10% 100VDC RAD
B32529C1823K289,1,2.15,EPCOS - TDK Electronics,CAP FILM 0.082UF 10% 100VDC RAD
B32529C0473K189,1,2.15,EPCOS - TDK Electronics,CAP FILM 0.047UF 10% 63VDC RAD
B32529C0123K289,1,2.15,EPCOS - TDK Electronics,CAP FILM 0.012UF 10% 63VDC RAD
B32529C0153K189,1,2.15,EPCOS - TDK Electronics,CAP FILM 0.015UF 10% 63VDC RAD
B32529C0392K289,1,2.15,EPCOS - TDK Electronics,CAP FILM 3900PF 10% 63VDC RADIAL
B32529C0103K289,1,2.15,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 63VDC RAD
B32529C0102K189,1,2.15,EPCOS - TDK Electronics,CAP FILM 1000PF 10% 63VDC RADIAL
B32529C0103K189,1,2.15,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 63VDC RAD
B32529C0223K189,1,2.15,EPCOS - TDK Electronics,CAP FILM 0.022UF 10% 63VDC RAD
B32529C1223J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.022UF 5% 100VDC RAD
B32529C0223J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.022UF 5% 63VDC RADIAL
B32529C0273J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.027UF 5% 63VDC RADIAL
B32529C0392J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 3900PF 5% 63VDC RADIAL
B32529C1472J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 4700PF 5% 100VDC RADIAL
B32529C0332J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 3300PF 5% 63VDC RADIAL
B32529C0333J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.033UF 5% 63VDC RADIAL
B32529C1102J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 1000PF 5% 100VDC RADIAL
B32529C0102J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 1000PF 5% 63VDC RADIAL
B32529C0822J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 8200PF 5% 63VDC RADIAL
B32529C1103J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 100VDC RAD
B32529C0682J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 6800PF 5% 63VDC RADIAL
B32529C1473J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.047UF 5% 100VDC RAD
B32529C0472J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 4700PF 5% 63VDC RADIAL
B32529C1104J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 100VDC RADIAL
B32529C0823J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.082UF 5% 63VDC RADIAL
B32529C0222J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 63VDC RADIAL
B32529C1333J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.033UF 5% 100VDC RAD
B32529C0152J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 1500PF 5% 63VDC RADIAL
B32529C0473J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.047UF 5% 63VDC RADIAL
B32529C0153J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.015UF 5% 63VDC RADIAL
B32529C0103J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 63VDC RADIAL
B32529C0683J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 0.068UF 5% 63VDC RADIAL
B32529C1222J000,1,2.23,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 100VDC RADIAL
B32529C1103K289,1,2.32,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 100VDC RAD
B32529C1222J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 100VDC RADIAL
B32529C0393J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.039UF 5% 63VDC RADIAL
B32529C0473J289,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.047UF 5% 63VDC RADIAL
B32529C1104J189,1,2.32,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 100VDC RADIAL
